session,calibration,n_frames,n_joints,n,linear_reproj_p50,linear_heldout_p50,linear_heldout_n,optim_reproj_p50,optim_heldout_p50,optim_heldout_n,optim_nosmooth_reproj_p50,optim_nosmooth_heldout_p50,optim_nosmooth_heldout_n
20250904_160014,2,23438,15,351570,2.3255112824478115,3.206080561467367,1757850,2.3201821274460936,3.2173922087633713,1757850,2.3156426559341243,3.2127139095983375,1757850
20250904_165017,2,23654,15,354810,2.293257057852217,3.1243336072479932,1774050,2.2870737189805572,3.132714592603666,1774050,2.28394663694018,3.1309749201364516,1774050
20250904_174232,2,23444,15,351660,2.3785091141996437,3.2878043389405747,1758300,2.3729711071308444,3.2963864858378678,1758300,2.3689939025361113,3.29090518824004,1758300
20250904_181215,2,23233,15,348495,2.4790113176734403,3.3772461502979323,1742475,2.474698731221843,3.3944531678932477,1742475,2.470368660890961,3.38969510892121,1742475
20250904_183921,2,20871,15,313065,2.2595575045438125,3.110069353903619,1565325,2.3265893072025614,3.232020003472459,1565325,2.249953715574515,3.1150765060665226,1565325
20250905_165151,2,23333,15,349995,2.1503280998791316,2.9710409152578388,1749975,2.1694593881289777,3.02569197863519,1749975,2.1414100747057088,2.973777902001401,1749975
20250905_171829,2,23683,15,355245,2.210606521925139,3.0547061929905626,1776225,2.2051232345468335,3.064099501403681,1776225,2.2004575198426672,3.0559236188990044,1776225
20250905_174513,2,22863,15,342945,2.148383708949985,2.9975556941987462,1714725,2.164680512587431,3.044828609718167,1714725,2.1386053708381136,2.99961877701128,1714725
20250905_181402,2,22668,15,340020,2.1987929474102668,3.0804747444937295,1700100,2.1979653105880974,3.0982284444845862,1700100,2.189022881674303,3.085078317873511,1700100
20250905_191445,2,23283,15,349245,2.2328857864526603,3.098568799142567,1746225,2.2291740872096857,3.1101733433594934,1746225,2.2206723270450017,3.091461367232822,1746225
20250905_194049,2,22983,15,344745,2.290323963471604,3.190840927013684,1723725,2.289834426612854,3.2082516779381494,1723725,2.2796438019145877,3.188108182824782,1723725
20250905_200953,2,23522,15,352830,2.282984424141339,3.097666662787913,1764150,2.285612557025353,3.123456868971187,1764150,2.274606204767732,3.105140787771055,1764150
20250905_203607,2,23357,15,350355,2.262945447878466,3.145129552849018,1751775,2.2591414555470726,3.1632614617366257,1751775,2.254065518763799,3.1507635667921186,1751775
20250905_210254,2,23209,15,348135,2.2471546558315447,3.090861360087906,1740675,2.251544249730499,3.1181596335688404,1740675,2.237917812831745,3.096662352618089,1740675
20250905_213215,2,23164,15,347460,2.2690486332454265,3.1597049701172617,1737300,2.263538715909373,3.1659651692045583,1737300,2.259444365433476,3.1626921842549987,1737300
20250907_143021,2,22308,15,334620,2.2823013865545043,3.2053691075923307,1673100,2.2995356073060806,3.241953606122742,1673100,2.265409313233774,3.1873962580885884,1673100
20250907_151901,2,22292,15,334380,2.473107789282443,3.462643797469731,1671900,2.4644640950275303,3.47117880439723,1671900,2.460033377215282,3.464639404702307,1671900
20250907_154801,2,22561,15,338415,2.3232856644699114,3.212419712468062,1692075,2.3284889807131086,3.240356057522245,1692075,2.314217828735898,3.2189810870949427,1692075
20250907_161657,2,23024,15,345360,2.32531015485327,3.2177097194669786,1726800,2.322191306322938,3.235782564611438,1726800,2.3160651619329022,3.2253218899207594,1726800
20250907_164826,2,23229,15,348435,2.3557888274518173,3.277433249868232,1742175,2.3544634954432864,3.298611433277105,1742175,2.3469100685370146,3.283282634041042,1742175
20250907_171538,2,22996,15,344940,2.319922704107133,3.2191509951200232,1724700,2.3224121379004217,3.2462437691157846,1724700,2.3109008649595197,3.230072935688345,1724700
20250907_174343,2,21156,15,317340,2.3989660602361518,3.3785929218683037,1586700,2.4164874640751597,3.42729231219122,1586700,2.3880132481270966,3.3799463660939137,1586700
20250907_181225,2,22982,15,344730,2.2903959886150327,3.173600117613846,1723650,2.2856961573521533,3.182918359005609,1723650,2.2814345387879778,3.1830809309087913,1723650
20250907_183823,2,21998,15,329970,2.3223197061433694,3.2567628518604677,1649850,2.3178564252537677,3.266573708913085,1649850,2.3073941036391625,3.2456318829601623,1649850
20250907_190610,2,23342,15,350130,2.273477970306364,3.1473489322600816,1750650,2.265310873520619,3.1519802082108264,1750650,2.2639332386922817,3.155698219919033,1750650
