corpus,condition,lag_s,p25,p50,p75,n_sessions
Mouse-Dyad-10M,near,-4.869982785177132,0.7621429381548015,1.4341583666464606,1.7240955834176777,35
Mouse-Dyad-10M,near,-4.863320702023675,0.8048385875754803,1.4341583666464606,1.7240955834176777,35
Mouse-Dyad-10M,near,-4.856658618870218,0.8327041596919744,1.4315281835262752,1.6971135682746095,35
Mouse-Dyad-10M,near,-4.849996535716761,0.8327041596919744,1.4284434650263174,1.7126681435378455,35
Mouse-Dyad-10M,near,-4.843334452563304,0.8818129732258386,1.41580722623508,1.7140574982303065,35
Mouse-Dyad-10M,near,-4.836672369409847,0.8868208381275029,1.41580722623508,1.7140574982303065,35
Mouse-Dyad-10M,near,-4.830010286256389,0.8874328693526286,1.4163781618724645,1.7140574982303065,35
Mouse-Dyad-10M,near,-4.823348203102932,0.8874328693526286,1.4167428306901453,1.7255635744978304,35
Mouse-Dyad-10M,near,-4.816686119949475,0.8874328693526286,1.4167428306901453,1.7255635744978304,35
Mouse-Dyad-10M,near,-4.810024036796018,0.8874328693526286,1.4284434650263174,1.761050859649489,35
Mouse-Dyad-10M,near,-4.803361953642561,0.886224896792364,1.4284434650263174,1.813934011121837,35
Mouse-Dyad-10M,near,-4.796699870489104,0.886224896792364,1.4284434650263174,1.813934011121837,35
Mouse-Dyad-10M,near,-4.790037787335647,0.886224896792364,1.368212693361483,1.813934011121837,35
Mouse-Dyad-10M,near,-4.783375704182189,0.886224896792364,1.368212693361483,1.7619297159592575,35
Mouse-Dyad-10M,near,-4.776713621028732,0.8945350899619947,1.368212693361483,1.7619297159592575,35
Mouse-Dyad-10M,near,-4.7700515378752755,0.8945350899619947,1.368212693361483,1.7619297159592575,35
Mouse-Dyad-10M,near,-4.7633894547218185,0.8502875145284996,1.4162342612124865,1.7619297159592575,35
Mouse-Dyad-10M,near,-4.756727371568362,0.8422700066487065,1.237338535073138,1.7619297159592575,35
Mouse-Dyad-10M,near,-4.750065288414905,0.841632154493439,1.1879218542784187,1.7349477008161895,35
Mouse-Dyad-10M,near,-4.743403205261447,0.841632154493439,1.237338535073138,1.7349477008161895,35
Mouse-Dyad-10M,near,-4.73674112210799,0.841632154493439,1.237338535073138,1.7349477008161895,35
Mouse-Dyad-10M,near,-4.730079038954533,0.841632154493439,1.237338535073138,1.7581856376883365,35
Mouse-Dyad-10M,near,-4.723416955801076,0.841632154493439,1.237338535073138,1.7586362513033258,35
Mouse-Dyad-10M,near,-4.716754872647619,0.7658392238312681,1.237338535073138,1.7586362513033258,35
Mouse-Dyad-10M,near,-4.710092789494162,0.7658392238312681,1.237338535073138,1.7586362513033258,35
