corpus,session,start_frac,dur_s,min_nose_gap,lag_s,height_match,ordinal
mouse-dyad-10m,20250904_140306,0.11248675075888323,0.42636707273689023,0.021626335119435472,0.6528745801283631,0.8851916558934267,8
mouse-dyad-10m,20250904_140306,0.11311938468027015,0.44635302927143194,0.1809513783659463,1.4123409284409487,0.685441395956235,9
mouse-dyad-10m,20250904_140306,0.12122153841031304,0.5063108988750571,0.0843970583220094,0.1399016957417921,0.9624071372871946,10
mouse-dyad-10m,20250904_140306,0.12735364791147566,0.33309927557569546,0.12895384446965966,0.42636707273689023,0.8572836983677915,11
mouse-dyad-10m,20250904_140306,0.13633261005887934,1.2058193775840176,0.07003962941849966,0.01998595653454173,0.7858348794487551,12
mouse-dyad-10m,20250904_140306,0.13934594531601174,0.3397612610872094,0.033473822739312084,0.02664794204605564,0.9350901735954575,13
mouse-dyad-10m,20250904_140306,0.14139923085033768,1.1192135659343367,0.07675933332976198,0.14656368125330602,0.7717440478288611,14
mouse-dyad-10m,20250904_140306,0.144789926692157,0.8527341454737805,0.10525335415324788,0.3530852321102372,0.7916178132789018,15
mouse-dyad-10m,20250904_140306,0.14583876714077215,0.5596067829671684,0.1734911420509824,1.612200493786366,0.7263225274803278,16
mouse-dyad-10m,20250904_140306,0.14969006487272404,0.25981743494904247,0.1411964281782554,0.18653559432238948,0.725908057927708,17
mouse-dyad-10m,20250904_140306,0.1500452277759588,0.45301501478294587,0.10521643822965793,0.6129026670592796,0.7801173821772821,18
mouse-dyad-10m,20250904_140306,0.1533415834716064,0.6528745801283631,0.23616710956223513,0.4730009713174876,0.7511564713600627,19
mouse-dyad-10m,20250904_140306,0.1568710148225018,0.9793118701925447,0.06858562868693052,1.1591854790034202,0.9584086120092155,20
mouse-dyad-10m,20250904_140306,0.1633249907047209,0.7594663483125856,0.03426848909367357,0.04663389858059737,0.9119553403221251,21
mouse-dyad-10m,20250904_140306,0.18250378747939777,0.7261564207550161,0.23262593878064983,0.9260159861004335,0.7343719420875408,22
mouse-dyad-10m,20250904_140306,0.1858944833212171,1.7121302764590747,0.056571183796639224,0.11991573920725036,0.9467513640501639,23
mouse-dyad-10m,20250904_140306,0.21031748233896969,0.6861845076859326,0.08008462713025512,0.18653559432238948,0.7858098209662653,24
mouse-dyad-10m,20250904_140306,0.21117764249524137,1.092565623888281,0.09824873365055992,1.032607754284656,0.8623665619798256,25
mouse-dyad-10m,20250904_140306,0.21996237492993856,1.1525234934919064,0.0657103935459671,0.3064513335296398,0.8366917617667748,26
mouse-dyad-10m,20250904_140306,0.27936891991631474,1.7121302764590747,0.06039967230573571,0.44635302927143194,0.8793131518278103,27
mouse-dyad-10m,20250904_140306,0.29866425451861556,0.8194242179162109,0.13961784029756394,0.366409203133265,0.7375580437356422,28
mouse-dyad-10m,20250904_140306,0.30959106321344737,0.45967700029445974,0.04639290153300023,0.04663389858059737,0.895472460436207,29
mouse-dyad-10m,20250904_140306,0.3104734210511712,0.8593961309852943,0.10155464328539893,1.0592556963307116,0.9718806641995245,30
mouse-dyad-10m,20250904_140306,0.31972985421672706,1.5589046096942547,0.23884256711871935,1.105889594911309,0.8635812218656086,31
mouse-dyad-10m,20250904_140306,0.32552899849610706,0.73281840626653,0.25497733070292306,0.4330290582484041,0.7384849997057362,32
mouse-dyad-10m,20250904_140306,0.36391433914727606,2.6114983205134523,0.027511625834262483,0.11991573920725036,0.894677283423793,33
mouse-dyad-10m,20250904_140306,0.36705531107275846,1.3390590878142958,0.04685461689232304,0.5063108988750571,0.9554033345139659,34
mouse-dyad-10m,20250904_140306,0.3882596462799461,0.44635302927143194,0.0672759836760236,0.05995786960362518,0.9386914947119435,35
mouse-dyad-10m,20250904_140306,0.42136748816586106,0.9793118701925447,0.15551601656454622,0.31977530455266767,0.8026329775938265,36
mouse-dyad-10m,20250904_140306,0.4266560857718411,1.1991573920725036,0.13717077501383348,0.7528043628010718,0.7886948272784605,37
mouse-dyad-10m,20250904_140306,0.4376272898295773,2.9112876685315783,0.06554768036350367,0.16654963778784773,0.923293334278752,38
mouse-dyad-10m,20250904_140306,0.4435540707773073,1.2324673196300733,0.056379799576207146,0.05995786960362518,0.820022234511444,39
mouse-dyad-10m,20250904_140306,0.4468837229951332,0.366409203133265,0.030440578915331747,1.9319757983390338,0.9590502225501233,40
mouse-dyad-10m,20250904_140306,0.4518615530607828,0.4929869278520293,0.10632476049476257,0.07328184062665301,0.8645795895576023,41
mouse-dyad-10m,20250904_140306,0.4855853806069956,3.171105103480621,0.048138256701115496,0.11991573920725036,0.8320376592643433,42
mouse-dyad-10m,20250904_140306,0.5159795559353826,0.7261564207550161,0.054601213694939255,0.04663389858059737,0.8476941537759592,43
mouse-dyad-10m,20250904_140306,0.5528221577256256,1.911989841804492,0.08030710481715016,0.03997191306908346,0.7494069823475358,44
mouse-dyad-10m,20250904_140306,0.5628333120605553,0.2864653769950981,0.03896977969876422,0.21318353636844511,0.9004560960106736,45
mouse-dyad-10m,20250904_140306,0.5810187625902474,1.2857632037221844,0.15528538437616665,0.0,0.8829436612160735,46
mouse-dyad-10m,20250904_140306,0.6227615025610574,0.7461423772895579,0.26841273925834047,0.2664794204605564,0.8147831447345263,47
mouse-dyad-10m,20250904_140306,0.6331888634232155,0.5795927395017101,0.08092460693107395,0.16654963778784773,0.9318803553254945,48
mouse-dyad-10m,20250904_140306,0.6372454897086,0.3464232465987233,0.23250011089149228,0.9126920150774056,0.7140272368357016,49
mouse-dyad-10m,20250904_140306,0.6412965665736214,0.5196348698980849,0.04076610255744812,0.11991573920725036,0.8777315467485207,50
mouse-dyad-10m,20250904_140306,0.642273264557517,0.806100246893183,0.029122872013932138,1.2924251892336984,0.9147531622271005,51
mouse-dyad-10m,20250904_140306,0.6434330934133929,0.7128324497319883,0.2533795342454813,2.6847801611401056,0.6930739471593615,52
mouse-dyad-10m,20250904_140306,0.7287554314951803,1.2657772471876427,0.016149538762184827,0.05329588409211128,0.8972995770300142,53
mouse-dyad-10m,20250904_140306,0.7476123618888008,0.2798033914835842,0.09446311357063379,0.0666198551151391,0.8098666139644973,54
mouse-dyad-10m,20250904_140306,0.7557422627206588,0.7528043628010718,0.02578825490536606,0.25315544943752855,0.938251058800775,55
mouse-dyad-10m,20250904_140306,0.7840276583110894,0.7994382613816692,0.10914386876480855,0.1399016957417921,0.9213039751843025,56
mouse-dyad-10m,20250904_140306,0.7921076143596801,2.93127362506612,0.02308410277034418,0.03330992755756955,0.8987415911937581,57
mouse-dyad-10m,20250904_140306,0.8033562894355685,1.5922145372518244,0.026081132962838476,0.18653559432238948,0.8611308858838359,58
mouse-dyad-10m,20250904_140306,0.848634010177637,1.2391293051415873,0.008884351330717848,0.03997191306908346,0.9387058844709779,59
mouse-dyad-10m,20250904_140306,0.8533843140084019,1.5855525517403104,0.002791098448348956,0.01998595653454173,0.7725649390366949,60
mouse-dyad-10m,20250904_140306,0.876081443293248,1.2191433486070453,0.04954210022636618,0.09326779716119474,0.8771871592183407,61
mouse-dyad-10m,20250904_140306,0.8802990027691607,0.6129026670592796,0.2642238756244288,0.73281840626653,0.7890535266770583,62
mouse-dyad-10m,20250904_140306,0.9412371877757368,0.38639515966780674,0.0524483300226684,0.17321162329936166,0.8207937387260156,63
mouse-dyad-10m,20250904_140306,0.965732329258209,0.8194242179162109,0.04664734159859414,0.14656368125330602,0.9659938746000294,64
mouse-dyad-10m,20250904_150414,0.6369124646631825,0.4063824698594117,0.18500577780035307,1.0459352093102892,0.7542932194084369,1
mouse-dyad-10m,20250904_174232,0.023967680534514237,2.218444131182664,0.04193329210740961,0.43969162960377123,0.7255067897334995,1
mouse-dyad-10m,20250904_174232,0.0661372578398566,0.4730016015434509,0.10337897218789381,0.37973368011234787,0.7466842619113916,2
mouse-dyad-10m,20250904_174232,0.37198461717748516,1.5922166587166868,0.05577246975963184,0.09326792143110299,0.823791052399535,3
mouse-dyad-10m,20250904_174232,0.37359948058001896,0.4796635959313868,0.045135715136998246,1.938640366889355,0.7293947753621763,4
mouse-dyad-10m,20250904_174232,0.37554730550884846,0.3064517418450527,0.10407599927340912,0.37307168572441196,0.6856622770189793,5
mouse-dyad-10m,20250904_174232,0.4935155742753925,0.3530857025606042,0.07307161396729094,1.4922867428976478,0.7757466281343524,6
mouse-dyad-10m,20250904_174232,0.49428693514464406,1.0525951132938767,0.07296301515540071,2.4183039628207417,0.7869494371172304,7
mouse-dyad-10m,20250904_181215,0.23507425385153674,0.27980432350975887,0.2133185154420219,0.2198462541862391,0.5827514245391658,1
mouse-dyad-10m,20250904_183921,0.16094258516700174,1.4123475147680251,0.03588340243112373,0.26648066316377833,0.9228474706861808,1
mouse-dyad-10m,20250904_183921,0.18286885336946984,0.8860482050195629,0.02950814998316821,1.2324730671324748,0.9825355403510723,2
mouse-dyad-10m,20250904_183921,0.2147974541536616,1.3324033158188917,0.07790551807154189,0.15322638131917254,0.7777219254622953,3
mouse-dyad-10m,20250904_183921,0.21746326183785225,0.566271409223029,0.050220986625531316,3.19776795796534,0.8083618018792266,4
mouse-dyad-10m,20250904_183921,0.21836297193126658,2.3850019353158163,0.0038472873556055394,4.277014643778642,0.9828362363211471,5
mouse-dyad-10m,20250904_183921,0.23481878061513511,0.47300317711570655,0.2982596199579146,0.479665193694801,0.6893424850640009,6
