session,camera,tracker,difficulty,bedding,animals,mota,motp,idf1,idp,idr,idtp,idfp,idfn,num_switches,num_fragmentations,precision,recall,num_false_positives,num_misses,num_detections,num_objects,num_predictions,mostly_tracked,partially_tracked,mostly_lost,num_unique_objects,num_frames
10072022134804,mid,luc3d,2,black,2,0.9936544563022787,0.0,0.9968171296296297,1.0,0.9936544563022787,34450.0,0.0,220.0,0,45,1.0,0.9936544563022787,0,220,34450,34670,34450,2,0,0,2,18150
10072022134804,midL,luc3d,2,black,2,0.9987460100319198,0.00010386566114043787,0.9989743589743589,0.9986329460013671,0.9993160054719562,35064.0,48.0,24.0,8,4,0.9991455912508544,0.999829001367989,30,6,35082,35088,35112,2,0,0,2,18150
10072022134804,top,luc3d,2,black,2,1.0,0.0,1.0,1.0,1.0,34659.0,0.0,0.0,0,0,1.0,1.0,0,0,34659,34659,34659,2,0,0,2,18150
10072022134804,topL,luc3d,2,black,2,0.999465631679604,0.0,0.9997327820204492,0.9998593411539651,0.9996062549218134,35542.0,5.0,14.0,0,5,0.9998593411539651,0.9996062549218134,5,14,35542,35556,35547,2,0,0,2,18150
10072022135851,back,luc3d,2,black,2,0.9999444490736883,0.0,0.9999722237653463,1.0,0.9999444490736883,36001.0,0.0,2.0,0,1,1.0,0.9999444490736883,0,2,36001,36003,36001,2,0,0,2,18017
10072022135851,backL,luc3d,2,black,2,1.0,0.0,1.0,1.0,1.0,35681.0,0.0,0.0,0,0,1.0,1.0,0,0,35681,35681,35681,2,0,0,2,18017
10072022135851,mid,luc3d,2,black,2,1.0,0.0,1.0,1.0,1.0,35822.0,0.0,0.0,0,0,1.0,1.0,0,0,35822,35822,35822,2,0,0,2,18017
10072022135851,midL,luc3d,2,black,2,0.9995523348535296,0.0,0.9997762175165739,0.9995525351679392,1.0,35741.0,16.0,0.0,0,0,0.9995525351679392,1.0,16,0,35741,35741,35757,2,0,0,2,18017
10072022135851,top,luc3d,2,black,2,1.0,0.0,1.0,1.0,1.0,35918.0,0.0,0.0,0,0,1.0,1.0,0,0,35918,35918,35918,2,0,0,2,18017
10072022135851,topL,luc3d,2,black,2,1.0,0.0,1.0,1.0,1.0,35977.0,0.0,0.0,0,0,1.0,1.0,0,0,35977,35977,35977,2,0,0,2,18017
