369 cells, 12 workers
[132/369] OK soc1/2022_09_23_M1_M6/C7c_cams4_sigma0 idf1=1.0 acc=1.0 sw=0
[133/369] OK soc1/2022_09_23_M3_M2/C7d_cams2_drop25 idf1=0.750513 acc=0.875852 sw=12
[134/369] OK soc1/2022_09_23_M3_M2/C7c_cams2_sigma0 idf1=0.875966 acc=0.875966 sw=2
[135/369] OK soc1/2022_09_23_M1_M6/C7d_cams5_drop25 idf1=0.87582 acc=0.877598 sw=5
[136/369] OK soc1/2022_09_23_M1_M6/C7c_cams5_sigma0 idf1=1.0 acc=1.0 sw=0
[137/369] OK soc1/2022_09_23_M1_M6/C7d_cams6_drop25 idf1=0.877206 acc=0.877635 sw=4
[138/369] OK soc1/2022_09_23_M3_M2/C7d_cams3_drop25 idf1=0.967694 acc=0.999944 sw=16
[139/369] OK soc1/2022_09_23_M3_M2/C7c_cams3_sigma0 idf1=0.875963 acc=0.875963 sw=2
[140/369] OK soc1/2022_09_23_M3_M2/C7d_cams4_drop25 idf1=0.868821 acc=0.87576 sw=6
[141/369] OK soc1/2022_09_23_M3_M2/C7c_cams4_sigma0 idf1=0.875963 acc=0.875963 sw=2
[142/369] OK soc1/2022_09_23_M3_M2/C7c_cams5_sigma0 idf1=0.87596 acc=0.87596 sw=2
[143/369] OK soc1/2022_09_23_M5_M4/C7d_cams2_drop25 idf1=0.857314 acc=0.999731 sw=8
[144/369] OK soc1/2022_09_23_M5_M4/C7c_cams2_sigma0 idf1=0.999854 acc=0.999854 sw=2
[145/369] OK soc1/2022_09_23_M3_M2/C7d_cams5_drop25 idf1=0.997194 acc=0.999057 sw=87
[146/369] OK soc1/2022_09_23_M5_M4/C7d_cams3_drop25 idf1=0.96766 acc=0.999702 sw=6
[147/369] OK soc1/2022_09_23_M3_M2/C7d_cams6_drop25 idf1=0.999486 acc=0.999978 sw=4
[148/369] OK soc1/2022_09_23_M5_M4/C7c_cams3_sigma0 idf1=0.648184 acc=0.648184 sw=2
[149/369] OK soc1/2022_09_23_M5_M4/C7d_cams4_drop25 idf1=0.991797 acc=0.999716 sw=4
[150/369] OK soc1/2022_09_23_M5_M4/C7c_cams4_sigma0 idf1=0.648188 acc=0.648188 sw=4
[151/369] OK soc1/2022_09_24_M2_M4/C7d_cams2_drop25 idf1=0.769477 acc=0.897582 sw=100
[152/369] OK soc1/2022_09_24_M2_M4/C7c_cams2_sigma0 idf1=1.0 acc=1.0 sw=0
[153/369] OK soc1/2022_09_23_M5_M4/C7c_cams5_sigma0 idf1=0.648182 acc=0.648182 sw=2
[154/369] OK soc1/2022_09_23_M5_M4/C7d_cams5_drop25 idf1=0.99771 acc=0.999722 sw=6
[155/369] OK soc1/2022_09_23_M5_M4/C7d_cams6_drop25 idf1=0.999253 acc=0.999713 sw=4
[156/369] OK soc1/2022_09_24_M2_M4/C7d_cams3_drop25 idf1=0.967133 acc=0.999939 sw=16
[157/369] OK soc1/2022_09_24_M2_M4/C7c_cams3_sigma0 idf1=1.0 acc=1.0 sw=0
[158/369] OK soc1/2022_09_24_M2_M4/C7d_cams4_drop25 idf1=0.992155 acc=0.999945 sw=12
[159/369] OK soc1/2022_09_24_M2_M4/C7c_cams4_sigma0 idf1=1.0 acc=1.0 sw=0
[160/369] OK soc1/2022_09_24_M3_M6/C7d_cams2_drop25 idf1=0.85621 acc=0.999885 sw=6
[161/369] OK soc1/2022_09_24_M3_M6/C7c_cams2_sigma0 idf1=1.0 acc=1.0 sw=0
[162/369] OK soc1/2022_09_24_M2_M4/C7d_cams5_drop25 idf1=0.997981 acc=0.999961 sw=6
[163/369] OK soc1/2022_09_24_M2_M4/C7c_cams5_sigma0 idf1=1.0 acc=1.0 sw=0
[164/369] OK soc1/2022_09_24_M2_M4/C7d_cams6_drop25 idf1=0.999446 acc=0.99996 sw=6
[165/369] OK soc1/2022_09_24_M3_M6/C7d_cams3_drop25 idf1=0.967944 acc=0.999997 sw=0
[166/369] OK soc1/2022_09_24_M3_M6/C7c_cams3_sigma0 idf1=1.0 acc=1.0 sw=0
[167/369] OK soc1/2022_09_24_M3_M6/C7d_cams4_drop25 idf1=0.992186 acc=0.999994 sw=2
[168/369] OK soc1/2022_09_24_M3_M6/C7c_cams4_sigma0 idf1=1.0 acc=1.0 sw=0
[169/369] OK soc1/2022_09_24_M5_M1/C7d_cams2_drop25 idf1=0.856454 acc=0.99999 sw=3
[170/369] OK soc1/2022_09_24_M5_M1/C7c_cams2_sigma0 idf1=1.0 acc=1.0 sw=0
[171/369] OK soc1/2022_09_24_M3_M6/C7c_cams5_sigma0 idf1=1.0 acc=1.0 sw=0
[172/369] OK soc1/2022_09_24_M3_M6/C7d_cams5_drop25 idf1=0.997997 acc=0.999994 sw=2
[173/369] OK soc1/2022_09_24_M5_M1/C7d_cams3_drop25 idf1=0.967669 acc=0.999989 sw=0
[174/369] OK soc1/2022_09_24_M3_M6/C7d_cams6_drop25 idf1=0.999493 acc=0.999995 sw=0
[175/369] OK soc1/2022_09_24_M5_M1/C7c_cams3_sigma0 idf1=1.0 acc=1.0 sw=0
[176/369] OK soc1/2022_09_24_M5_M1/C7d_cams4_drop25 idf1=0.992262 acc=0.999994 sw=2
[177/369] OK soc1/2022_09_24_M5_M1/C7c_cams4_sigma0 idf1=1.0 acc=1.0 sw=0
[178/369] OK soc1/2022_09_25_M1_M4/C7d_cams2_drop25 idf1=0.856324 acc=0.998833 sw=179
[179/369] OK soc1/2022_09_25_M1_M4/C7c_cams2_sigma0 idf1=1.0 acc=1.0 sw=0
[180/369] OK soc1/2022_09_24_M5_M1/C7d_cams5_drop25 idf1=0.998034 acc=0.999992 sw=1
[181/369] OK soc1/2022_09_24_M5_M1/C7c_cams5_sigma0 idf1=1.0 acc=1.0 sw=0
[182/369] OK soc1/2022_09_25_M1_M4/C7d_cams3_drop25 idf1=0.968101 acc=0.999995 sw=2
[183/369] OK soc1/2022_09_24_M5_M1/C7d_cams6_drop25 idf1=0.999501 acc=0.999996 sw=0
[184/369] OK soc1/2022_09_25_M1_M4/C7c_cams3_sigma0 idf1=1.0 acc=1.0 sw=0
[185/369] OK soc1/2022_09_25_M1_M4/C7d_cams4_drop25 idf1=0.855316 acc=0.8621 sw=2
[186/369] OK soc1/2022_09_25_M1_M4/C7c_cams4_sigma0 idf1=1.0 acc=1.0 sw=0
[187/369] OK soc1/2022_09_25_M5_M3/C7d_cams2_drop25 idf1=0.478454 acc=0.557782 sw=174
[188/369] OK soc1/2022_09_25_M1_M4/C7c_cams5_sigma0 idf1=1.0 acc=1.0 sw=0
[189/369] OK soc1/2022_09_25_M5_M3/C7c_cams2_sigma0 idf1=1.0 acc=1.0 sw=0
[190/369] OK soc1/2022_09_25_M1_M4/C7d_cams5_drop25 idf1=0.998075 acc=0.999994 sw=0
[191/369] OK soc1/2022_09_25_M5_M3/C7d_cams3_drop25 idf1=0.68772 acc=0.710307 sw=68
[192/369] OK soc1/2022_09_25_M1_M4/C7d_cams6_drop25 idf1=0.999509 acc=0.999995 sw=0
[193/369] OK soc1/2022_09_25_M5_M3/C7c_cams3_sigma0 idf1=1.0 acc=1.0 sw=0
[194/369] OK soc1/2022_09_25_M5_M3/C7c_cams4_sigma0 idf1=1.0 acc=1.0 sw=0
[195/369] OK soc1/2022_09_25_M5_M3/C7d_cams4_drop25 idf1=0.959396 acc=0.967021 sw=32
[196/369] OK soc1/2022_09_25_M6_M2/C7d_cams2_drop25 idf1=0.479681 acc=0.559431 sw=225
[197/369] OK soc1/2022_09_25_M5_M3/C7d_cams5_drop25 idf1=0.523778 acc=0.524836 sw=38
[198/369] OK soc1/2022_09_25_M6_M2/C7c_cams2_sigma0 idf1=1.0 acc=1.0 sw=0
[199/369] OK soc1/2022_09_25_M5_M3/C7c_cams5_sigma0 idf1=1.0 acc=1.0 sw=0
[200/369] OK soc1/2022_09_25_M5_M3/C7d_cams6_drop25 idf1=0.763858 acc=0.764218 sw=20
[201/369] OK soc1/2022_09_25_M6_M2/C7d_cams3_drop25 idf1=0.91399 acc=0.944629 sw=104
[202/369] OK soc1/2022_09_25_M6_M2/C7c_cams3_sigma0 idf1=1.0 acc=1.0 sw=0
[203/369] OK soc1/2022_09_25_M6_M2/C7d_cams4_drop25 idf1=0.98901 acc=0.997011 sw=376
