328 cells, 12 workers
[129/328] OK soc1/2022_09_23_M3_M2/C7_cams5 idf1=0.875962 acc=0.875962 sw=2
[130/328] OK soc1/2022_09_23_M3_M2/C7b_cams5_sigma10 idf1=0.999816 acc=0.999816 sw=24
[131/328] OK soc1/2022_09_23_M5_M4/C7_cams3 idf1=0.999712 acc=0.999712 sw=4
[132/328] OK soc1/2022_09_23_M5_M4/C7b_cams3_sigma10 idf1=0.999708 acc=0.999708 sw=4
[133/328] OK soc1/2022_09_23_M5_M4/C7_cams4 idf1=0.999719 acc=0.999719 sw=4
[134/328] OK soc1/2022_09_23_M5_M4/C7b_cams4_sigma10 idf1=0.999716 acc=0.999716 sw=4
[135/328] OK soc1/2022_09_24_M2_M4/C7_cams2 idf1=1.0 acc=1.0 sw=0
[136/328] OK soc1/2022_09_24_M2_M4/C7b_cams2_sigma10 idf1=0.997404 acc=0.997404 sw=8
[137/328] OK soc1/2022_09_23_M5_M4/C7_cams5 idf1=0.999715 acc=0.999715 sw=4
[138/328] OK soc1/2022_09_23_M5_M4/C7b_cams5_sigma10 idf1=0.999712 acc=0.999712 sw=4
[139/328] OK soc1/2022_09_24_M2_M4/C7_cams3 idf1=1.0 acc=1.0 sw=0
[140/328] OK soc1/2022_09_24_M2_M4/C7b_cams3_sigma10 idf1=0.944929 acc=0.944929 sw=2
[141/328] OK soc1/2022_09_24_M2_M4/C7_cams4 idf1=1.0 acc=1.0 sw=0
[142/328] OK soc1/2022_09_24_M2_M4/C7b_cams4_sigma10 idf1=1.0 acc=1.0 sw=0
[143/328] OK soc1/2022_09_24_M3_M6/C7_cams2 idf1=1.0 acc=1.0 sw=0
[144/328] OK soc1/2022_09_24_M3_M6/C7b_cams2_sigma10 idf1=1.0 acc=1.0 sw=0
[145/328] OK soc1/2022_09_24_M2_M4/C7_cams5 idf1=1.0 acc=1.0 sw=0
[146/328] OK soc1/2022_09_24_M2_M4/C7b_cams5_sigma10 idf1=0.999991 acc=0.999991 sw=0
[147/328] OK soc1/2022_09_24_M3_M6/C7_cams3 idf1=1.0 acc=1.0 sw=0
[148/328] OK soc1/2022_09_24_M3_M6/C7b_cams3_sigma10 idf1=1.0 acc=1.0 sw=0
[149/328] OK soc1/2022_09_24_M3_M6/C7_cams4 idf1=1.0 acc=1.0 sw=0
[150/328] OK soc1/2022_09_24_M3_M6/C7b_cams4_sigma10 idf1=1.0 acc=1.0 sw=0
[151/328] OK soc1/2022_09_24_M5_M1/C7_cams2 idf1=1.0 acc=1.0 sw=0
[152/328] OK soc1/2022_09_24_M5_M1/C7b_cams2_sigma10 idf1=1.0 acc=1.0 sw=0
[153/328] OK soc1/2022_09_24_M3_M6/C7_cams5 idf1=1.0 acc=1.0 sw=0
[154/328] OK soc1/2022_09_24_M3_M6/C7b_cams5_sigma10 idf1=1.0 acc=1.0 sw=0
[155/328] OK soc1/2022_09_24_M5_M1/C7_cams3 idf1=1.0 acc=1.0 sw=0
[156/328] OK soc1/2022_09_24_M5_M1/C7b_cams3_sigma10 idf1=1.0 acc=1.0 sw=0
[157/328] OK soc1/2022_09_24_M5_M1/C7_cams4 idf1=1.0 acc=1.0 sw=0
[158/328] OK soc1/2022_09_24_M5_M1/C7b_cams4_sigma10 idf1=1.0 acc=1.0 sw=0
[159/328] OK soc1/2022_09_25_M1_M4/C7_cams2 idf1=1.0 acc=1.0 sw=0
[160/328] OK soc1/2022_09_24_M5_M1/C7_cams5 idf1=1.0 acc=1.0 sw=0
[161/328] OK soc1/2022_09_25_M1_M4/C7b_cams2_sigma10 idf1=1.0 acc=1.0 sw=0
[162/328] OK soc1/2022_09_24_M5_M1/C7b_cams5_sigma10 idf1=1.0 acc=1.0 sw=0
[163/328] OK soc1/2022_09_25_M1_M4/C7b_cams3_sigma10 idf1=1.0 acc=1.0 sw=0
[164/328] OK soc1/2022_09_25_M1_M4/C7_cams3 idf1=1.0 acc=1.0 sw=0
[165/328] OK soc1/2022_09_25_M1_M4/C7_cams4 idf1=1.0 acc=1.0 sw=0
