session,calibration,n_frames,n_joints,n,linear_reproj_p50,linear_heldout_p50,linear_heldout_n,optim_reproj_p50,optim_heldout_p50,optim_heldout_n,optim_nosmooth_reproj_p50,optim_nosmooth_heldout_p50,optim_nosmooth_heldout_n
20250903_143938,2,5927,15,88905,2.516117494355947,3.377071899145332,444525,2.52778303368138,3.428648977987118,444525,2.5074677209165346,3.391645005574596,444525
20250903_150657,2,5742,15,86130,2.3572648345321854,3.2442938247033863,430650,2.3696509574514057,3.2940725403680373,430650,2.349410331716415,3.2563261867095803,430650
20250903_153433,2,5768,15,86520,2.336224516903985,3.183328908316379,432600,2.3418954047973237,3.2178730333316095,432600,2.328840354379296,3.192490758773973,432600
20250904_131913,2,5628,15,84420,2.27634776359682,3.147282187420334,422100,2.274964094854406,3.164995636544031,422100,2.2668645948309827,3.1494115633245996,422100
20250904_140306,2,1078,15,16170,2.4850323227346443,3.4124944004537965,80850,2.624310324937502,3.645072521425029,80850,2.4677158840524016,3.3957622257162545,80850
20250904_143552,2,5870,15,88050,2.244164683489481,3.107477453018073,440250,2.2421288290260644,3.125366373442751,440250,2.2338085834902195,3.1111875049131172,440250
20250904_150414,2,5846,15,87690,2.3054889486029575,3.162567516499764,438450,2.3048911606643196,3.179434041189384,438450,2.2957757786809974,3.1657995864398814,438450
20250904_153332,2,5926,15,88890,2.266861106595384,3.075882151206647,444450,2.269372936378395,3.103487203407684,444450,2.2585461319847866,3.088562145006583,444450
20250904_160014,2,5857,15,87855,2.324799470188741,3.2046765912419595,439275,2.3237382453033897,3.2245279652635697,439275,2.3145071455329242,3.2097958919257095,439275
20250904_165017,2,5908,15,88620,2.293562215044616,3.123705338634163,443100,2.2937549677916085,3.1412164250373396,443100,2.284840778343157,3.1314601132536186,443100
20250904_174232,2,5860,15,87900,2.380538117976318,3.293830227003455,439500,2.3798704219727664,3.306594718427161,439500,2.3714634197471485,3.2952452517201998,439500
20250904_181215,2,5806,15,87090,2.4741098257975382,3.3722479289788776,435450,2.4772175627858646,3.4041933363574843,435450,2.4648821793115023,3.385068938663843,435450
20250904_183921,2,5230,15,78450,2.2600107440414097,3.1146321135553006,392250,2.411849349776965,3.353733924565108,392250,2.250436900321465,3.1190609574389647,392250
20250905_165151,2,5841,15,87615,2.1509168862695875,2.9696896975189095,438075,2.2300343916453764,3.1097122025630632,438075,2.142391982842924,2.9712019190493657,438075
20250905_171829,2,5923,15,88845,2.212708476490336,3.0575750734872473,444225,2.2114568545539153,3.075414371715037,444225,2.2026220333320934,3.0589932845650134,444225
20250905_174513,2,5712,15,85680,2.1522171831763717,3.004697705586091,428400,2.2250298475256924,3.13035101981058,428400,2.142133429832716,3.0074446524662743,428400
20250905_181402,2,5667,15,85005,2.1932229677305317,3.0732652371483162,425025,2.2058017705366817,3.1123576222491884,425025,2.183743443701311,3.077418415380385,425025
20250905_191445,2,5819,15,87285,2.2336757637374474,3.103274609935669,436425,2.2414971391642187,3.138846279286825,436425,2.2222700069075794,3.0962849001705437,436425
20250905_194049,2,5744,15,86160,2.288265471361894,3.185062501407968,430800,2.296712056145897,3.2202562862834316,430800,2.276866462162127,3.1817681593903298,430800
20250905_200953,2,5892,15,88380,2.2853850600623007,3.09924757038816,441900,2.3158448996693686,3.1789509280965422,441900,2.277298744362853,3.1063332208030134,441900
20250905_203607,2,5830,15,87450,2.2616918875108327,3.1427759688676784,437250,2.2626975175999275,3.170749788313322,437250,2.252611694909265,3.1475426495576873,437250
20250905_210254,2,5811,15,87165,2.246592641059986,3.086356473376564,435825,2.290512324304071,3.1840430742650225,435825,2.2364629168832835,3.0913464148091023,435825
20250905_213215,2,5793,15,86895,2.2721229800102565,3.1617967721483713,434475,2.2709568656525105,3.17380594085316,434475,2.262289537158129,3.1656867488126688,434475
20250907_143021,2,5586,15,83790,2.285305140935881,3.20825219231992,418950,2.332086177916561,3.289218471937645,418950,2.2682134577394133,3.190084758264102,418950
20250907_151901,2,5571,15,83565,2.473574745877535,3.4605919092199877,417825,2.4687492415717758,3.475230813084767,417825,2.460675650991135,3.464040599915879,417825
20250907_154801,2,5644,15,84660,2.320260819232579,3.213187696733035,423300,2.354508955947671,3.2900130713748523,423300,2.3118180291574335,3.219493897312998,423300
