recall_shipped_arm,luc3d_shipped_idf1,recall_pre131_arm,luc3d_pre131_idf1,recall_fresh_arm,luc3d_fresh_idf1,sleap_idf1,bytetrack_idf1,animals
0.8599014032153732,0.7708496489147473,0.8562713864142245,0.6978469230761597,0.8598878312186872,0.9070977196448218,0.7595135699536653,0.23569299753968498,2.0
0.12403966133389564,0.20291069839937878,0.12406907987120241,0.20992710665178838,0.12407007308660108,0.21972579639003653,0.19204916272706316,0.11755442357948998,2.0
0.9567827056873294,0.9751724089100359,0.9525761162589305,0.9730616277876516,0.9567827056873294,0.9751724089100359,0.8643298985773789,0.8607622692072727,1.0
0.9326843423638699,0.9578267589181598,0.9295698419006483,0.9562655073541974,0.9326902598324578,0.9578297176787164,0.729300987996425,0.8331018131794331,1.0
0.9217231578594767,0.9488590440464688,0.9203375721755469,0.9481715410371042,0.9217660775650467,0.9488866437340132,0.8860959610784577,0.9124680855512312,1.0
0.7256094871364912,0.8303290560466808,0.72339444497269,0.828704672377271,0.725665119959857,0.8303674685767882,0.675132484903887,0.834824891492976,1.0
0.999902415220734,0.9994976760249866,0.9950195257056036,0.9970058265362627,0.999902415220734,0.9994620846355949,0.783433031965231,0.5932726254277031,2.0
1.0,0.9999676585941827,0.9976871408390151,0.9987858030213902,1.0,0.9999676585941827,0.9392841826207002,0.6583194858173994,2.0
1.0,0.9999767587081215,0.9957309511483768,0.9977930330558397,1.0,0.9999767587081215,0.9857408749844873,0.9117905701229542,2.0
0.9998338776437402,0.9996752993694947,0.997654998617986,0.9974821632946648,0.9998338776437402,0.9996673751252695,0.7755136547467592,0.6437557578243499,2.0
0.9992535170898211,0.9973127166274344,0.9991778100877289,0.9517923198005547,0.9992878778086474,0.9973391581721097,0.7768992111016962,0.469605940101288,2.0
0.9999816784351565,0.9989218905650198,0.9987005361132998,0.9621063058458073,0.9999816784351565,0.9989218905650198,0.9324288484842952,0.631680945496682,2.0
0.9999394114626718,0.9988128567405933,0.998737931076653,0.9981758141616623,0.9999394114626718,0.9988128567405933,0.862931717966831,0.39135970009025006,2.0
0.9999727594660855,0.9997317172950066,0.999249688807205,0.9993646928796934,0.9999727594660855,0.9997317172950066,0.9003902298042177,0.5679286125511879,2.0
0.5092457936899822,0.3867890619411236,0.513642724799935,0.5563005919121208,0.5094216530876414,0.5220276024362244,0.4551169008214875,0.201367672965036,2.0
0.6243279233087736,0.4846749622044368,0.6228783695919833,0.5991874386728867,0.6246946974192044,0.7018186658204334,0.4615969316166963,0.20115082270921228,2.0
0.5208503470247908,0.655353591614282,0.517707287606952,0.47393959719355117,0.5209941713154743,0.5170105448191057,0.46093628103975814,0.3274762236646418,2.0
0.9133751950395931,0.9494612546375741,0.9112352849603772,0.948228797685671,0.9133721120453892,0.9494597131262147,0.5845897102185388,0.4863905297405939,1.0
0.8028788239264499,0.8726335158801172,0.8005365212152299,0.8712586468729792,0.8028788239829958,0.8726335158801174,0.5993178184214449,0.7954032648093698,1.0
